session_code,participant_id_in_session,participant_code,page_index,app_name,page_name,epoch_time_completed,round_number,timeout_happened,is_wait_page
tdmddbpq,15,1pjntanf,7,activism,Contribute,1781012220,1,0,0
tdmddbpq,16,f6vny8d1,9,activism,RoundResults,1781012222,1,0,0
tdmddbpq,25,83aftgm4,9,activism,RoundResults,1781012222,1,0,0
tdmddbpq,13,evnisgib,9,activism,RoundResults,1781012223,1,0,0
tdmddbpq,20,re1bvtsn,9,activism,RoundResults,1781012224,1,0,0
tdmddbpq,17,ek9i2pnl,9,activism,RoundResults,1781012225,1,0,0
tdmddbpq,8,zwt9mabo,9,activism,RoundResults,1781012229,1,0,0
tdmddbpq,5,omy7uxz8,9,activism,RoundResults,1781012230,1,0,0
tdmddbpq,3,0m90edei,9,activism,RoundResults,1781012231,1,0,0
tdmddbpq,18,5f0bpqo8,9,activism,RoundResults,1781012233,1,0,0
tdmddbpq,21,amhitlg7,7,activism,Contribute,1781012238,1,0,0
tdmddbpq,28,r3xrntnr,8,activism,WaitForResults,1781012238,1,0,1
tdmddbpq,11,5qny78h8,8,activism,WaitForResults,1781012238,1,0,1
tdmddbpq,15,1pjntanf,8,activism,WaitForResults,1781012238,1,0,1
tdmddbpq,21,amhitlg7,8,activism,WaitForResults,1781012238,1,0,1
tdmddbpq,11,5qny78h8,9,activism,RoundResults,1781012244,1,0,0
tdmddbpq,12,hd9e5rlc,16,activism,EffortTask,1781012246,2,1,0
tdmddbpq,23,t5bft775,16,activism,EffortTask,1781012248,2,1,0
tdmddbpq,24,5axkw4ic,16,activism,EffortTask,1781012249,2,1,0
tdmddbpq,2,gl3plip3,16,activism,EffortTask,1781012250,2,1,0
tdmddbpq,12,hd9e5rlc,17,activism,Contribute,1781012251,2,0,0
tdmddbpq,22,nqzcesvm,16,activism,EffortTask,1781012251,2,1,0
tdmddbpq,14,s4fdfqql,16,activism,EffortTask,1781012251,2,1,0
tdmddbpq,9,678275og,16,activism,EffortTask,1781012252,2,1,0
tdmddbpq,24,5axkw4ic,17,activism,Contribute,1781012255,2,0,0
tdmddbpq,10,84zpvizz,16,activism,EffortTask,1781012256,2,1,0
tdmddbpq,21,amhitlg7,9,activism,RoundResults,1781012257,1,0,0
tdmddbpq,27,bygi6pv2,16,activism,EffortTask,1781012257,2,1,0
tdmddbpq,23,t5bft775,17,activism,Contribute,1781012258,2,0,0
tdmddbpq,9,678275og,17,activism,Contribute,1781012258,2,0,0
tdmddbpq,4,mo19ix9u,16,activism,EffortTask,1781012258,2,1,0
tdmddbpq,22,nqzcesvm,17,activism,Contribute,1781012258,2,0,0
tdmddbpq,15,1pjntanf,9,activism,RoundResults,1781012259,1,0,0
tdmddbpq,14,s4fdfqql,17,activism,Contribute,1781012260,2,0,0
tdmddbpq,22,nqzcesvm,18,activism,WaitForResults,1781012260,2,0,1
tdmddbpq,24,5axkw4ic,18,activism,WaitForResults,1781012260,2,0,1
tdmddbpq,9,678275og,18,activism,WaitForResults,1781012260,2,0,1
tdmddbpq,14,s4fdfqql,18,activism,WaitForResults,1781012260,2,0,1
tdmddbpq,19,fevonr07,16,activism,EffortTask,1781012260,2,0,0
tdmddbpq,26,mdfk29n4,16,activism,EffortTask,1781012261,2,1,0
tdmddbpq,28,r3xrntnr,9,activism,RoundResults,1781012261,1,0,0
tdmddbpq,6,hw7ddtgh,16,activism,EffortTask,1781012261,2,1,0
tdmddbpq,27,bygi6pv2,17,activism,Contribute,1781012262,2,0,0
tdmddbpq,4,mo19ix9u,17,activism,Contribute,1781012263,2,0,0
tdmddbpq,25,83aftgm4,16,activism,EffortTask,1781012264,2,0,0
tdmddbpq,24,5axkw4ic,19,activism,RoundResults,1781012264,2,0,0
tdmddbpq,7,emq43ot6,16,activism,EffortTask,1781012264,2,1,0
tdmddbpq,14,s4fdfqql,19,activism,RoundResults,1781012265,2,0,0
tdmddbpq,1,r6cd7e3m,16,activism,EffortTask,1781012265,2,1,0
tdmddbpq,10,84zpvizz,17,activism,Contribute,1781012265,2,0,0
tdmddbpq,6,hw7ddtgh,17,activism,Contribute,1781012265,2,0,0
tdmddbpq,9,678275og,19,activism,RoundResults,1781012266,2,0,0
tdmddbpq,13,evnisgib,16,activism,EffortTask,1781012267,2,0,0
tdmddbpq,16,f6vny8d1,16,activism,EffortTask,1781012267,2,1,0
tdmddbpq,22,nqzcesvm,19,activism,RoundResults,1781012267,2,0,0
tdmddbpq,2,gl3plip3,17,activism,Contribute,1781012268,2,0,0
tdmddbpq,10,84zpvizz,18,activism,WaitForResults,1781012268,2,0,1
tdmddbpq,12,hd9e5rlc,18,activism,WaitForResults,1781012268,2,0,1
tdmddbpq,2,gl3plip3,18,activism,WaitForResults,1781012268,2,0,1
tdmddbpq,23,t5bft775,18,activism,WaitForResults,1781012268,2,0,1
tdmddbpq,8,zwt9mabo,16,activism,EffortTask,1781012269,2,0,0
tdmddbpq,20,re1bvtsn,16,activism,EffortTask,1781012269,2,1,0
tdmddbpq,1,r6cd7e3m,17,activism,Contribute,1781012270,2,0,0
tdmddbpq,17,ek9i2pnl,16,activism,EffortTask,1781012270,2,1,0
tdmddbpq,25,83aftgm4,17,activism,Contribute,1781012271,2,0,0
tdmddbpq,12,hd9e5rlc,19,activism,RoundResults,1781012272,2,0,0
tdmddbpq,16,f6vny8d1,17,activism,Contribute,1781012273,2,0,0
tdmddbpq,20,re1bvtsn,17,activism,Contribute,1781012273,2,0,0
tdmddbpq,23,t5bft775,19,activism,RoundResults,1781012273,2,0,0
tdmddbpq,7,emq43ot6,17,activism,Contribute,1781012275,2,0,0
tdmddbpq,5,omy7uxz8,16,activism,EffortTask,1781012275,2,1,0
tdmddbpq,19,fevonr07,17,activism,Contribute,1781012275,2,0,0
tdmddbpq,3,0m90edei,16,activism,EffortTask,1781012276,2,1,0
tdmddbpq,10,84zpvizz,19,activism,RoundResults,1781012277,2,0,0
tdmddbpq,8,zwt9mabo,17,activism,Contribute,1781012278,2,0,0
tdmddbpq,18,5f0bpqo8,16,activism,EffortTask,1781012278,2,1,0
tdmddbpq,13,evnisgib,17,activism,Contribute,1781012279,2,0,0
tdmddbpq,1,r6cd7e3m,18,activism,WaitForResults,1781012279,2,0,1
tdmddbpq,6,hw7ddtgh,18,activism,WaitForResults,1781012279,2,0,1
tdmddbpq,13,evnisgib,18,activism,WaitForResults,1781012279,2,0,1
tdmddbpq,19,fevonr07,18,activism,WaitForResults,1781012279,2,0,1
tdmddbpq,2,gl3plip3,19,activism,RoundResults,1781012280,2,0,0
tdmddbpq,26,mdfk29n4,17,activism,Contribute,1781012281,2,0,0
tdmddbpq,7,emq43ot6,18,activism,WaitForResults,1781012281,2,0,1
tdmddbpq,26,mdfk29n4,18,activism,WaitForResults,1781012281,2,0,1
tdmddbpq,4,mo19ix9u,18,activism,WaitForResults,1781012281,2,0,1
tdmddbpq,27,bygi6pv2,18,activism,WaitForResults,1781012281,2,0,1
tdmddbpq,5,omy7uxz8,17,activism,Contribute,1781012282,2,0,0
tdmddbpq,13,evnisgib,19,activism,RoundResults,1781012283,2,0,0
tdmddbpq,19,fevonr07,19,activism,RoundResults,1781012284,2,0,0
tdmddbpq,27,bygi6pv2,19,activism,RoundResults,1781012285,2,0,0
tdmddbpq,26,mdfk29n4,19,activism,RoundResults,1781012285,2,0,0
tdmddbpq,1,r6cd7e3m,19,activism,RoundResults,1781012286,2,0,0
tdmddbpq,4,mo19ix9u,19,activism,RoundResults,1781012286,2,0,0
tdmddbpq,6,hw7ddtgh,19,activism,RoundResults,1781012287,2,0,0
tdmddbpq,11,5qny78h8,16,activism,EffortTask,1781012290,2,1,0
tdmddbpq,17,ek9i2pnl,17,activism,Contribute,1781012290,2,0,0
tdmddbpq,7,emq43ot6,19,activism,RoundResults,1781012290,2,0,0
tdmddbpq,3,0m90edei,17,activism,Contribute,1781012297,2,0,0
tdmddbpq,16,f6vny8d1,18,activism,WaitForResults,1781012297,2,0,1
tdmddbpq,3,0m90edei,18,activism,WaitForResults,1781012297,2,0,1
tdmddbpq,20,re1bvtsn,18,activism,WaitForResults,1781012297,2,0,1
tdmddbpq,25,83aftgm4,18,activism,WaitForResults,1781012297,2,0,1
tdmddbpq,18,5f0bpqo8,17,activism,Contribute,1781012298,2,0,0
tdmddbpq,5,omy7uxz8,18,activism,WaitForResults,1781012298,2,0,1
tdmddbpq,8,zwt9mabo,18,activism,WaitForResults,1781012298,2,0,1
tdmddbpq,17,ek9i2pnl,18,activism,WaitForResults,1781012298,2,0,1
tdmddbpq,18,5f0bpqo8,18,activism,WaitForResults,1781012298,2,0,1
tdmddbpq,11,5qny78h8,17,activism,Contribute,1781012299,2,0,0
tdmddbpq,25,83aftgm4,19,activism,RoundResults,1781012300,2,0,0
tdmddbpq,21,amhitlg7,16,activism,EffortTask,1781012302,2,1,0
tdmddbpq,5,omy7uxz8,19,activism,RoundResults,1781012304,2,0,0
tdmddbpq,15,1pjntanf,16,activism,EffortTask,1781012304,2,1,0
tdmddbpq,28,r3xrntnr,16,activism,EffortTask,1781012306,2,1,0
tdmddbpq,20,re1bvtsn,19,activism,RoundResults,1781012306,2,0,0
tdmddbpq,3,0m90edei,19,activism,RoundResults,1781012307,2,0,0
tdmddbpq,17,ek9i2pnl,19,activism,RoundResults,1781012308,2,0,0
tdmddbpq,24,5axkw4ic,26,activism,EffortTask,1781012309,3,1,0
tdmddbpq,16,f6vny8d1,19,activism,RoundResults,1781012309,2,0,0
tdmddbpq,18,5f0bpqo8,19,activism,RoundResults,1781012309,2,0,0
tdmddbpq,14,s4fdfqql,26,activism,EffortTask,1781012310,3,1,0
tdmddbpq,9,678275og,26,activism,EffortTask,1781012311,3,1,0
tdmddbpq,21,amhitlg7,17,activism,Contribute,1781012312,2,0,0
tdmddbpq,8,zwt9mabo,19,activism,RoundResults,1781012313,2,0,0
tdmddbpq,22,nqzcesvm,26,activism,EffortTask,1781012313,3,1,0
tdmddbpq,14,s4fdfqql,27,activism,Contribute,1781012315,3,0,0
tdmddbpq,24,5axkw4ic,27,activism,Contribute,1781012317,3,0,0
